municipio;codEstacao;uf;nomeEstacao;latitude;longitude;datahora;valorMedida
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-01 00:00:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-01 01:00:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-01 02:00:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-01 03:00:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-01 04:00:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-01 04:10:00.0;1,97
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-01 04:20:00.0;0,2
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-01 05:00:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-01 06:00:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-01 06:10:00.0;0,39
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-01 06:20:00.0;0,2
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-01 06:30:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-01 06:40:00.0;0,79
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-01 06:50:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-01 07:00:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-01 08:00:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-01 09:00:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-01 10:00:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-01 10:10:00.0;1,18
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-01 10:20:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-01 11:00:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-01 12:00:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-01 13:00:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-01 14:00:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-01 15:00:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-01 16:00:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-01 17:00:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-01 18:00:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-01 18:10:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-01 18:20:00.0;2,76
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-01 18:30:00.0;1,18
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-01 18:40:00.0;0,39
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-01 18:50:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-01 19:00:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-01 19:10:00.0;0,39
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-01 19:20:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-01 19:30:00.0;0,2
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-01 19:40:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-01 19:50:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-01 20:00:00.0;0,42
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-01 20:10:00.0;2,56
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-01 20:20:00.0;1,18
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-01 20:30:00.0;0,2
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-01 20:40:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-01 21:00:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-01 21:10:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-01 21:20:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-01 21:30:00.0;0,98
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-01 21:40:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-01 22:00:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-01 22:10:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-01 22:20:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-01 22:30:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-01 22:40:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-01 22:50:00.0;0,79
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-01 23:00:00.0;0,2
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-01 23:10:00.0;0,2
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-01 23:20:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-01 23:30:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-02 00:00:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-02 00:10:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-02 00:20:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-02 00:30:00.0;0,2
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-02 00:40:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-02 01:00:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-02 02:00:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-02 03:00:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-02 04:00:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-02 04:10:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-02 04:20:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-02 04:30:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-02 04:40:00.0;0,2
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-02 04:50:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-02 05:00:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-02 06:00:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-02 06:10:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-02 06:20:00.0;0,2
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-02 06:30:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-02 06:40:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-02 07:00:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-02 07:10:00.0;0,42
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-02 07:20:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-02 08:00:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-02 09:00:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-02 09:10:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-02 09:20:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-02 09:30:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-02 09:40:00.0;0,2
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-02 09:50:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-02 10:00:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-02 11:00:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-02 12:00:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-02 13:00:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-02 14:00:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-02 15:00:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-02 16:00:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-02 17:00:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-02 18:00:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-02 19:00:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-02 20:00:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-02 21:00:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-02 22:00:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-02 23:00:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-03 00:00:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-03 01:00:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-03 02:00:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-03 03:00:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-03 04:00:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-03 05:00:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-03 06:00:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-03 07:00:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-03 08:00:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-03 09:00:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-03 10:00:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-03 11:00:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-03 12:00:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-03 13:00:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-03 14:00:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-03 15:00:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-03 16:00:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-03 17:00:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-03 18:00:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-03 19:00:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-03 20:00:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-03 21:00:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-03 22:00:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-03 23:00:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-04 00:00:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-04 01:00:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-04 02:00:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-04 03:00:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-04 04:00:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-04 05:00:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-04 06:00:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-04 07:00:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-04 08:00:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-04 09:00:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-04 10:00:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-04 11:00:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-04 12:00:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-04 13:00:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-04 14:00:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-04 15:00:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-04 16:00:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-04 17:00:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-04 18:00:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-04 19:00:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-04 20:00:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-04 21:00:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-04 22:00:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-04 23:00:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-05 00:00:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-05 01:00:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-05 02:00:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-05 03:00:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-05 04:00:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-05 04:10:00.0;0,98
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-05 04:20:00.0;1,37
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-05 04:30:00.0;0,39
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-05 04:40:00.0;0,2
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-05 05:00:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-05 05:10:00.0;0,59
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-05 05:20:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-05 05:30:00.0;0,79
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-05 05:40:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-05 06:00:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-05 07:00:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-05 07:10:00.0;0,2
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-05 07:20:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-05 08:00:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-05 09:00:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-05 10:00:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-05 11:00:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-05 12:00:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-05 13:00:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-05 14:00:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-05 15:00:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-05 15:10:00.0;0,2
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-05 15:20:00.0;0,0
RECIFE;261160601A;PE;Varzea;-8,036;-34,98;2015-08-05 16:00:00.0;0,0
