municipio;codEstacao;uf;nomeEstacao;latitude;longitude;datahora;valorMedida
RECIFE;261160621A;PE;Areias;-8,102;-34,929;01/01/2015 01:00:00;0,0
RECIFE;261160621A;PE;Areias;-8,102;-34,929;01/01/2015 00:00:00;0,0
RECIFE;261160621A;PE;Areias;-8,102;-34,929;01/01/2015 12:00:00;0,0
RECIFE;261160621A;PE;Areias;-8,102;-34,929;01/01/2015 13:00:00;0,0
RECIFE;261160621A;PE;Areias;-8,102;-34,929;01/01/2015 14:00:00;0,0
RECIFE;261160621A;PE;Areias;-8,102;-34,929;01/01/2015 02:00:00;0,0
RECIFE;261160621A;PE;Areias;-8,102;-34,929;01/01/2015 03:00:00;0,0
RECIFE;261160621A;PE;Areias;-8,102;-34,929;01/01/2015 04:00:00;0,0
RECIFE;261160621A;PE;Areias;-8,102;-34,929;01/01/2015 05:00:00;0,0
RECIFE;261160621A;PE;Areias;-8,102;-34,929;01/01/2015 06:00:00;0,0
RECIFE;261160621A;PE;Areias;-8,102;-34,929;01/01/2015 15:00:00;0,0
RECIFE;261160621A;PE;Areias;-8,102;-34,929;01/01/2015 07:00:00;0,0
RECIFE;261160621A;PE;Areias;-8,102;-34,929;01/01/2015 08:00:00;0,0
RECIFE;261160621A;PE;Areias;-8,102;-34,929;01/01/2015 16:00:00;0,0
RECIFE;261160621A;PE;Areias;-8,102;-34,929;01/01/2015 09:00:00;0,0
RECIFE;261160621A;PE;Areias;-8,102;-34,929;01/01/2015 10:00:00;0,0
RECIFE;261160621A;PE;Areias;-8,102;-34,929;01/01/2015 11:00:00;0,0
RECIFE;261160621A;PE;Areias;-8,102;-34,929;01/01/2015 22:00:00;0,0
RECIFE;261160621A;PE;Areias;-8,102;-34,929;01/01/2015 23:00:00;0,0
RECIFE;261160621A;PE;Areias;-8,102;-34,929;02/01/2015 00:00:00;0,0
RECIFE;261160621A;PE;Areias;-8,102;-34,929;02/01/2015 00:50:00;0,2
RECIFE;261160621A;PE;Areias;-8,102;-34,929;02/01/2015 00:10:00;0,0
RECIFE;261160621A;PE;Areias;-8,102;-34,929;02/01/2015 00:20:00;0,0
RECIFE;261160621A;PE;Areias;-8,102;-34,929;02/01/2015 00:30:00;0,0
RECIFE;261160621A;PE;Areias;-8,102;-34,929;02/01/2015 00:40:00;0,0
RECIFE;261160621A;PE;Areias;-8,102;-34,929;02/01/2015 01:00:00;0,0
RECIFE;261160621A;PE;Areias;-8,102;-34,929;01/01/2015 17:00:00;0,0
RECIFE;261160621A;PE;Areias;-8,102;-34,929;01/01/2015 17:40:00;0,4
RECIFE;261160621A;PE;Areias;-8,102;-34,929;01/01/2015 17:10:00;0,0
RECIFE;261160621A;PE;Areias;-8,102;-34,929;01/01/2015 17:20:00;0,0
RECIFE;261160621A;PE;Areias;-8,102;-34,929;01/01/2015 17:30:00;0,0
RECIFE;261160621A;PE;Areias;-8,102;-34,929;01/01/2015 17:50:00;0,8
RECIFE;261160621A;PE;Areias;-8,102;-34,929;01/01/2015 18:00:00;2,6
RECIFE;261160621A;PE;Areias;-8,102;-34,929;01/01/2015 18:20:00;0,2
RECIFE;261160621A;PE;Areias;-8,102;-34,929;01/01/2015 18:30:00;0,0
RECIFE;261160621A;PE;Areias;-8,102;-34,929;01/01/2015 19:00:00;0,0
RECIFE;261160621A;PE;Areias;-8,102;-34,929;01/01/2015 20:00:00;0,0
RECIFE;261160621A;PE;Areias;-8,102;-34,929;01/01/2015 21:00:00;0,0
RECIFE;261160621A;PE;Areias;-8,102;-34,929;02/01/2015 02:50:00;0,0
RECIFE;261160621A;PE;Areias;-8,102;-34,929;02/01/2015 02:40:00;0,4
RECIFE;261160621A;PE;Areias;-8,102;-34,929;02/01/2015 03:00:00;0,0
RECIFE;261160621A;PE;Areias;-8,102;-34,929;02/01/2015 04:00:00;0,0
RECIFE;261160621A;PE;Areias;-8,102;-34,929;02/01/2015 05:00:00;0,0
RECIFE;261160621A;PE;Areias;-8,102;-34,929;02/01/2015 06:00:00;0,0
RECIFE;261160621A;PE;Areias;-8,102;-34,929;02/01/2015 07:00:00;0,0
RECIFE;261160621A;PE;Areias;-8,102;-34,929;02/01/2015 08:00:00;0,0
RECIFE;261160621A;PE;Areias;-8,102;-34,929;02/01/2015 09:00:00;0,0
RECIFE;261160621A;PE;Areias;-8,102;-34,929;02/01/2015 10:00:00;0,0
RECIFE;261160621A;PE;Areias;-8,102;-34,929;02/01/2015 12:00:00;0,0
RECIFE;261160621A;PE;Areias;-8,102;-34,929;02/01/2015 11:00:00;0,0
RECIFE;261160621A;PE;Areias;-8,102;-34,929;02/01/2015 02:00:00;0,8
RECIFE;261160621A;PE;Areias;-8,102;-34,929;02/01/2015 01:10:00;0,0
RECIFE;261160621A;PE;Areias;-8,102;-34,929;02/01/2015 01:20:00;0,0
RECIFE;261160621A;PE;Areias;-8,102;-34,929;02/01/2015 01:30:00;0,0
RECIFE;261160621A;PE;Areias;-8,102;-34,929;02/01/2015 01:40:00;0,0
RECIFE;261160621A;PE;Areias;-8,102;-34,929;02/01/2015 01:50:00;0,0
RECIFE;261160621A;PE;Areias;-8,102;-34,929;02/01/2015 02:10:00;0,0
RECIFE;261160621A;PE;Areias;-8,102;-34,929;02/01/2015 02:30:00;0,4
RECIFE;261160621A;PE;Areias;-8,102;-34,929;02/01/2015 02:20:00;0,2
RECIFE;261160621A;PE;Areias;-8,102;-34,929;02/01/2015 23:00:00;0,0
RECIFE;261160621A;PE;Areias;-8,102;-34,929;03/01/2015 01:00:00;0,0
RECIFE;261160621A;PE;Areias;-8,102;-34,929;02/01/2015 13:00:00;0,0
RECIFE;261160621A;PE;Areias;-8,102;-34,929;02/01/2015 14:00:00;0,0
RECIFE;261160621A;PE;Areias;-8,102;-34,929;03/01/2015 00:00:00;0,0
RECIFE;261160621A;PE;Areias;-8,102;-34,929;02/01/2015 15:00:00;0,0
RECIFE;261160621A;PE;Areias;-8,102;-34,929;02/01/2015 16:00:00;0,0
RECIFE;261160621A;PE;Areias;-8,102;-34,929;02/01/2015 17:00:00;0,0
RECIFE;261160621A;PE;Areias;-8,102;-34,929;02/01/2015 18:00:00;0,0
RECIFE;261160621A;PE;Areias;-8,102;-34,929;02/01/2015 19:00:00;0,0
RECIFE;261160621A;PE;Areias;-8,102;-34,929;02/01/2015 20:00:00;0,0
RECIFE;261160621A;PE;Areias;-8,102;-34,929;02/01/2015 21:00:00;0,0
RECIFE;261160621A;PE;Areias;-8,102;-34,929;02/01/2015 22:00:00;0,0
RECIFE;261160621A;PE;Areias;-8,102;-34,929;03/01/2015 03:00:00;0,0
RECIFE;261160621A;PE;Areias;-8,102;-34,929;03/01/2015 04:00:00;0,0
RECIFE;261160621A;PE;Areias;-8,102;-34,929;03/01/2015 18:00:00;0,0
RECIFE;261160621A;PE;Areias;-8,102;-34,929;03/01/2015 05:00:00;0,0
RECIFE;261160621A;PE;Areias;-8,102;-34,929;03/01/2015 06:00:00;0,0
RECIFE;261160621A;PE;Areias;-8,102;-34,929;03/01/2015 07:00:00;0,0
RECIFE;261160621A;PE;Areias;-8,102;-34,929;03/01/2015 08:00:00;0,0
RECIFE;261160621A;PE;Areias;-8,102;-34,929;03/01/2015 09:00:00;0,0
RECIFE;261160621A;PE;Areias;-8,102;-34,929;03/01/2015 10:00:00;0,0
RECIFE;261160621A;PE;Areias;-8,102;-34,929;03/01/2015 11:00:00;0,0
RECIFE;261160621A;PE;Areias;-8,102;-34,929;03/01/2015 12:00:00;0,0
RECIFE;261160621A;PE;Areias;-8,102;-34,929;03/01/2015 13:00:00;0,0
RECIFE;261160621A;PE;Areias;-8,102;-34,929;03/01/2015 19:00:00;0,0
RECIFE;261160621A;PE;Areias;-8,102;-34,929;03/01/2015 14:00:00;0,0
RECIFE;261160621A;PE;Areias;-8,102;-34,929;03/01/2015 15:00:00;0,0
RECIFE;261160621A;PE;Areias;-8,102;-34,929;03/01/2015 16:00:00;0,0
RECIFE;261160621A;PE;Areias;-8,102;-34,929;03/01/2015 17:00:00;0,0
RECIFE;261160621A;PE;Areias;-8,102;-34,929;03/01/2015 02:00:00;0,0
RECIFE;261160621A;PE;Areias;-8,102;-34,929;03/01/2015 20:00:00;0,0
RECIFE;261160621A;PE;Areias;-8,102;-34,929;03/01/2015 21:00:00;0,0
RECIFE;261160621A;PE;Areias;-8,102;-34,929;03/01/2015 22:00:00;0,0
RECIFE;261160621A;PE;Areias;-8,102;-34,929;03/01/2015 23:00:00;0,0
RECIFE;261160621A;PE;Areias;-8,102;-34,929;04/01/2015 00:00:00;0,0
RECIFE;261160621A;PE;Areias;-8,102;-34,929;04/01/2015 01:00:00;0,0
RECIFE;261160621A;PE;Areias;-8,102;-34,929;04/01/2015 13:00:00;0,0
RECIFE;261160621A;PE;Areias;-8,102;-34,929;04/01/2015 02:00:00;0,0
RECIFE;261160621A;PE;Areias;-8,102;-34,929;04/01/2015 03:00:00;0,0
RECIFE;261160621A;PE;Areias;-8,102;-34,929;04/01/2015 04:00:00;0,0
RECIFE;261160621A;PE;Areias;-8,102;-34,929;04/01/2015 05:00:00;0,0
RECIFE;261160621A;PE;Areias;-8,102;-34,929;04/01/2015 06:00:00;0,0
RECIFE;261160621A;PE;Areias;-8,102;-34,929;04/01/2015 07:00:00;0,0
RECIFE;261160621A;PE;Areias;-8,102;-34,929;04/01/2015 08:00:00;0,0
RECIFE;261160621A;PE;Areias;-8,102;-34,929;04/01/2015 09:00:00;0,0
RECIFE;261160621A;PE;Areias;-8,102;-34,929;04/01/2015 14:00:00;0,0
RECIFE;261160621A;PE;Areias;-8,102;-34,929;04/01/2015 10:00:00;0,0
RECIFE;261160621A;PE;Areias;-8,102;-34,929;04/01/2015 11:00:00;0,0
RECIFE;261160621A;PE;Areias;-8,102;-34,929;04/01/2015 12:00:00;0,0
RECIFE;261160621A;PE;Areias;-8,102;-34,929;04/01/2015 15:00:00;0,0
RECIFE;261160621A;PE;Areias;-8,102;-34,929;04/01/2015 16:00:00;0,0
RECIFE;261160621A;PE;Areias;-8,102;-34,929;05/01/2015 04:00:00;0,0
RECIFE;261160621A;PE;Areias;-8,102;-34,929;04/01/2015 17:00:00;0,0
RECIFE;261160621A;PE;Areias;-8,102;-34,929;04/01/2015 18:00:00;0,0
RECIFE;261160621A;PE;Areias;-8,102;-34,929;04/01/2015 19:00:00;0,0
RECIFE;261160621A;PE;Areias;-8,102;-34,929;04/01/2015 20:00:00;0,0
